shard_id,file,n_rows,sample_row_start,sample_row_end_exclusive,size_mb
0,sample_shard_0000.npz,5000,0,5000,14.37
1,sample_shard_0001.npz,5000,5000,10000,14.61
2,sample_shard_0002.npz,5000,10000,15000,14.7
3,sample_shard_0003.npz,5000,15000,20000,14.76
4,sample_shard_0004.npz,5000,20000,25000,14.67
5,sample_shard_0005.npz,5000,25000,30000,14.92
6,sample_shard_0006.npz,5000,30000,35000,14.78
7,sample_shard_0007.npz,5000,35000,40000,14.9
8,sample_shard_0008.npz,5000,40000,45000,15.06
9,sample_shard_0009.npz,5000,45000,50000,15.35
10,sample_shard_0010.npz,5000,50000,55000,15.06
11,sample_shard_0011.npz,5000,55000,60000,14.57
12,sample_shard_0012.npz,5000,60000,65000,14.52
13,sample_shard_0013.npz,5000,65000,70000,14.6
14,sample_shard_0014.npz,5000,70000,75000,14.36
15,sample_shard_0015.npz,5000,75000,80000,14.78
16,sample_shard_0016.npz,5000,80000,85000,14.96
17,sample_shard_0017.npz,5000,85000,90000,15.08
18,sample_shard_0018.npz,4766,90000,94766,14.64
